شبكة الكهرباء,السنة,المنطقة الإدارية,نوع المسكن,المساكن المتصلة بالكهرباء
شبكة عامة,2022,نجران,فيلا,100.00
مولد خاص,2022,المدينة المنورة,فيلا,0.00
شبكة عامة,2022,عسير,فيلا,100.00
شبكة خاصة,2022,مكة المكرمة,دور في منزل شعبي,0.00
شبكة خاصة,2021,الرياض,فيلا,1.67
مولد خاص,2017,تبوك,منزل شعبي,0.13
مولد خاص,2017,حائل,دور في منزل شعبي,0.00
طاقة شمسية,2022,الجوف,منزل شعبي,7.31
مولد خاص,2022,جازان,دور في منزل شعبي,0.00
طاقة شمسية,2022,عسير,شقة,Infinity
شبكة خاصة,2022,المنطقة الشرقية,دور في فيلا,0.00
مولد خاص,2022,القصيم,فيلا,0.00
شبكة عامة,2022,جازان,دور في فيلا,100.00
مولد خاص,2022,الرياض,منزل شعبي,0.00
طاقة شمسية,2022,الجوف,شقة,0.00
شبكة خاصة,2019,جازان,منزل شعبي,0.19
شبكة خاصة,2022,الحدود الشمالية,منزل شعبي,0.00
شبكة عامة,2018,مكة المكرمة,دور في منزل شعبي,99.88
مولد خاص,2021,المنطقة الشرقية,أخرى,0.99
شبكة عامة,2017,تبوك,شقة,99.27
شبكة خاصة,2019,الحدود الشمالية,دور في فيلا,0.00
شبكة عامة,2017,حائل,فيلا,100.00
شبكة عامة,2022,مكة المكرمة,منزل شعبي,100.00
طاقة شمسية,2022,المنطقة الشرقية,شقة,0.00
شبكة خاصة,2022,الباحة,شقة,0.00
مولد خاص,2018,عسير,شقة,0.00
شبكة خاصة,2021,الحدود الشمالية,دور في فيلا,0.00
مولد خاص,2019,مكة المكرمة,دور في فيلا,0.00
مولد خاص,2017,الرياض,دور في فيلا,0.00
شبكة عامة,2019,المنطقة الشرقية,شقة,100.00
شبكة عامة,2017,المدينة المنورة,فيلا,100.00
طاقة شمسية,2018,حائل,دور في فيلا,0.00
شبكة عامة,2019,عسير,شقة,99.99
طاقة شمسية,2018,نجران,فيلا,0.00
شبكة عامة,2019,الرياض,منزل شعبي,100.00
شبكة خاصة,2019,تبوك,شقة,0.00
شبكة عامة,2021,عسير,منزل شعبي,100.00
طاقة شمسية,2022,القصيم,منزل شعبي,0.00
طاقة شمسية,2018,مكة المكرمة,دور في فيلا,0.00
شبكة خاصة,2021,الرياض,أخرى,0.48
شبكة عامة,2018,مكة المكرمة,دور في فيلا,98.65
شبكة خاصة,2022,الحدود الشمالية,فيلا,0.00
شبكة خاصة,2022,الباحة,منزل شعبي,0.00
شبكة عامة,2022,المنطقة الشرقية,دور في منزل شعبي,96.95
مولد خاص,2022,مكة المكرمة,شقة,0.00
شبكة عامة,2022,نجران,شقة,96.23
طاقة شمسية,2022,مكة المكرمة,منزل شعبي,14.29
شبكة عامة,2019,تبوك,فيلا,100.00
طاقة شمسية,2018,الجوف,منزل شعبي,0.00
شبكة عامة,2019,مكة المكرمة,دور في فيلا,100.00
مولد خاص,2018,مكة المكرمة,شقة,0.00
شبكة خاصة,2022,المنطقة الشرقية,شقة,0.00
طاقة شمسية,2022,جازان,منزل شعبي,3.11
مولد خاص,2021,المنطقة الشرقية,أخرى,0.00
طاقة شمسية,2022,تبوك,منزل شعبي,0.53
شبكة عامة,2017,مكة المكرمة,منزل شعبي,99.83
شبكة خاصة,2019,عسير,أخرى,0.00
شبكة خاصة,2018,عسير,فيلا,0.04
